,deck_code,region_1,region_2,champion_1,champion_2,champion_3,champion_4,matches_played
79,CIBQGAIBAQERMAICAEDQQAICAIDASFI2FAWDSAICAEBBOMIA,Freljord,Ionia,Braum,Zed,None,None,218
80,CIBQEAQGBALAOAIAAEERUHJFE4VQGAQAAYEQUAQBAEABKAICAADQA,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,216
81,CICAGAIBBEFTEAICAEDQGAIDAQPC4BICAMAQGBYIBEBACAIBA4AQEAYEAA,Freljord,Noxus,Braum,Swain,None,None,214
82,CIBAEAIDCQ3QQAIEAEGBYJZIFU2DMBABAECA2AICAQBQEAIDDETQCAQDAMAA,Noxus,Piltover & Zaun,Draven,Jinx,None,None,210
83,CIBAEAIDEUUAOAQGBAFRUIBBFU5AEAQBAMCB6AQCAYKBYAQCAIDAEEQDAEBRMLZT,Noxus,Bilgewater,Twisted Fate,Gangplank,None,None,208
84,CIBAMAIFBYIB4KBQGEAQEBIGAICQCBIUDEQCEKQCAICQCBABAUAQKAJBEM2DM,Shadow Isles,None,Kalista,Hecarim,Thresh,None,205
85,CIBAQAIFA4HBAHRIFIYTMAICAUDACBQBAUAQGDYUDUVQCAIBAUJQ,Shadow Isles,None,Kalista,Hecarim,None,None,202
86,CIBQIAQGBEIBUKYHAECACDA4E4WTINYBAICAGAQBAECCMAICAYXAA,Bilgewater,Piltover & Zaun,Twisted Fate,Fizz,None,None,201
87,CIBQGAIBAMLCEBIBAUPCQMBRGUBQEBIBAQDAEAICAEDQEAIFA4MQCAIBAUFQ,Freljord,Shadow Isles,Kalista,Elise,None,None,199
88,CIBAGAIDAQPSCBQBAEBQWFRGFEYAGAQBAMMDKAYBAECB4KQBAIAQEAIBAEBTG,Noxus,Freljord,Ashe,Sejuani,None,None,194
89,CICAEAIBAQQAEAQBAIDQKAIEBAMRWNB2AEBAICQCAEBACCQDAECCOMJVAIAQCAJKAEAQIGQ,Freljord,Piltover & Zaun,Sejuani,Teemo,None,None,193
90,CIBQCAQGCYDQCAABBEFRUHJHFMBAEAAGBEBAGAIACUUTGAQCAADQUAA,Bilgewater,Demacia,Miss Fortune,Quinn,None,None,185
91,CIBAKAIFAEOSQNRXA4AQCDAUCULRQIJHAEAQCBIPAIAQCAJUAEAQKGI,Shadow Isles,Freljord,Anivia,Tryndamere,None,None,185
92,CIBQCAIDFYBQEAYHBAEQKAIEDMPSIKZUAMAQCAZLAEBAGAIEAECBUJZRHIAQCAIDCY,Noxus,Piltover & Zaun,Swain,Ezreal,None,None,183
93,CIBQEAIFAM2QQAIDAIEA6HRFEYUC6AYCAMBQIBIAAEAQCBIZ,Shadow Isles,Noxus,Elise,Darius,None,None,179
94,CICAIAICAIEA6OIBAIBAKBABAMPCILRPAIBAGBYJAIAQCAZWAEBAGAIDAEAQGEYBAEBDCAICAIDQ,Ionia,Noxus,Yasuo,Swain,None,None,177
95,CIBAGAQDAMDQSCICAYCAQCY2DQQS2MJ2AEAQEBQUAIAQCAYEAEBAGAI,Noxus,Bilgewater,Swain,Twisted Fate,None,None,174
96,CIBQKAIFAMKCQLZRAUAQIAI3D4SDIAICAQDAEAIBAQ5AEAIFAEVQCAIBAUHQ,Shadow Isles,Piltover & Zaun,Ezreal,None,None,None,172
