,deck_code,matches_played
74,CICAEAIDAQXAIAQDAEDQQCIGAECBWHZEE42DUAICAQAQAAIBAICAM,237
75,CIBAGAIEDMSDICACAYEAWGQ4DUQS2OQCAEAQIHYCAIDAIFABAEBAMEQ,232
76,CIBAIAIDAQMB6IIFAEAQWFQ6EYYAGAQBAECCUAYBAMNDGNIBAIAQEAIBAIAQO,225
77,CIBAOAIBAMCASFRFFYZAIAQBAEBAMBYBAMAQCDIUGYAQCAIBAU,220
78,CICAIAIABQHRUMICAIAACCQFAEAQQCIQDE2QEAQBAMDQAAIBAEAQI,219
79,CIBQGAIBAQERMAICAEDQQAICAIDASFI2FAWDSAICAEBBOMIA,218
80,CIBQEAQGBALAOAIAAEERUHJFE4VQGAQAAYEQUAQBAEABKAICAADQA,216
81,CICAGAIBBEFTEAICAEDQGAIDAQPC4BICAMAQGBYIBEBACAIBA4AQEAYEAA,214
82,CIBAEAIDCQ3QQAIEAEGBYJZIFU2DMBABAECA2AICAQBQEAIDDETQCAQDAMAA,210
83,CIBAEAIDEUUAOAQGBAFRUIBBFU5AEAQBAMCB6AQCAYKBYAQCAIDAEEQDAEBRMLZT,208
84,CIBAMAIFBYIB4KBQGEAQEBIGAICQCBIUDEQCEKQCAICQCBABAUAQKAJBEM2DM,205
85,CIBAQAIFA4HBAHRIFIYTMAICAUDACBQBAUAQGDYUDUVQCAIBAUJQ,202
86,CIBQIAQGBEIBUKYHAECACDA4E4WTINYBAICAGAQBAECCMAICAYXAA,201
87,CIBQGAIBAMLCEBIBAUPCQMBRGUBQEBIBAQDAEAICAEDQEAIFA4MQCAIBAUFQ,199
88,CIBAGAIDAQPSCBQBAEBQWFRGFEYAGAQBAMMDKAYBAECB4KQBAIAQEAIBAEBTG,194
89,CICAEAIBAQQAEAQBAIDQKAIEBAMRWNB2AEBAICQCAEBACCQDAECCOMJVAIAQCAJKAEAQIGQ,193
90,CIBQCAQGCYDQCAABBEFRUHJHFMBAEAAGBEBAGAIACUUTGAQCAADQUAA,185
91,CIBAKAIFAEOSQNRXA4AQCDAUCULRQIJHAEAQCBIPAIAQCAJUAEAQKGI,185
